CONTRACT_ID,CLIENT_TYPE_ID,AVG_EUROS_IMPORT,POWER_P1,HAS_GAS,HAS_SOLAR,ZIPCODE
53,1,99.15,5250.00000,0,1,03012
4039,0,49.76,5050.00000,0,0,41008
4287,0,85.67,2950.00000,0,0,29003
2436,0,86.38,4100.00000,0,0,24226
5915,1,127.85,5150.00000,0,0,08028
7789,0,187.53,9650.00000,0,0,08860
3803,0,97.2,4100.00000,0,0,39360
407,0,34.58,3250.00000,0,1,24670
4972,0,28.06,4150.00000,0,0,14439
5662,0,51.7,4100.00000,0,0,08032
6105,0,129.71,5250.00000,0,0,08036
691,0,48.61,3950.00000,0,0,28029
3928,0,105.45,6350.00000,0,1,41001
8638,0,125.74,6400.00000,0,1,07839
262,0,92.74,5250.00000,0,0,10005
5525,0,104.06,4100.00000,0,0,08170
7042,0,61.06,3950.00000,0,1,08019
7391,1,253.62,8700.00000,0,0,17320
7845,0,72.19,5250.00000,0,1,08460
8183,0,123.92,6400.00000,0,1,08002
1933,0,55.23,2950.00000,0,0,48903
5853,0,104.46,5050.00000,0,1,08030
6590,0,72.86,3450.00000,0,0,08901
6077,0,56.93,3950.00000,0,0,08032
4652,0,135.6,8950.00000,0,0,29600
7726,0,71.66,3950.00000,0,0,08922
7745,0,58.04,3450.00000,0,0,08930
1518,0,168.92,4850.00000,0,0,46920
5096,0,109.78,6400.00000,0,1,44002
3321,0,33.73,2950.00000,0,1,28033
1181,0,51.58,6400.00000,0,1,31003
635,0,31.64,4100.00000,0,0,28026
4981,0,132.49,4100.00000,0,1,21002
3555,0,71.31,5250.00000,0,0,28500
252,0,43.24,4100.00000,0,0,09249
1887,1,100.98,10550.00000,0,0,03140
8034,0,39.39,6400.00000,0,1,17539
6648,0,36.8,2850.00000,0,0,08902
499,1,133.31,11042.00000,0,1,28942
4225,0,123.14,5050.00000,0,0,41020
4912,0,71.63,5250.00000,0,0,04740
4114,0,66.92,3650.00000,0,0,41907
5475,1,167.24,3650.00000,0,0,08302
1045,0,60.09,2950.00000,0,1,31014
6440,0,82.07,5050.00000,0,0,43717
891,0,55.32,1650.00000,0,0,28850
6843,0,28.41,3950.00000,0,0,25125
1861,0,99.66,5250.00000,0,1,28981
469,0,89.74,4100.00000,0,0,28924
8560,0,65.87,5050.00000,0,0,07011
5659,0,45.48,3950.00000,0,0,08012
5144,0,42.06,6150.00000,0,1,22330
678,0,86.51,5050.00000,0,0,28029
8491,0,142.91,5250.00000,0,1,07008
7808,0,92.59,2850.00000,0,0,08840
3654,1,136.98,6400.00000,0,1,15403
471,0,45.71,3950.00000,0,0,28922
7209,0,77.42,3650.00000,0,1,08013
8559,0,179.86,5250.00000,0,0,07008
6535,0,139.55,5250.00000,0,0,17528
6120,0,57.47,3750.00000,0,0,08015
